direction,combo,noise_k,vol_mult,window,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG,delta_surge+macd_x_up_neg,0.0,0.8,full_0930_1400,5,0.09,1,4,0,20.0,20.0,0.25,-0.9,0.9,65.0
LONG,delta_surge+hist_turn_up,0.0,0.8,full_0930_1400,53,0.93,18,23,12,34.0,43.9,0.85,-1.1,3.4,88.8
LONG,delta_surge+strong_close,0.0,0.8,full_0930_1400,280,4.91,104,140,36,37.1,42.6,0.77,-9.79,13.02,83.5
LONG,delta_surge+orb_break_up,0.0,0.8,full_0930_1400,38,0.67,18,17,3,47.4,51.4,1.07,0.37,1.8,82.9
LONG,delta_surge+orb_break_up_v,0.0,0.8,full_0930_1400,38,0.67,18,17,3,47.4,51.4,1.07,0.37,1.8,82.9
LONG,delta_surge+vwap_reclaim_v,0.0,0.8,full_0930_1400,20,0.35,9,8,3,45.0,52.9,1.2,0.5,1.5,103.8
LONG,delta_surge+rvol_thrust_up,0.0,0.8,full_0930_1400,189,3.32,77,87,25,40.7,47.0,0.93,-1.98,5.27,87.4
LONG,delta_surge+above_vwap_v,0.0,0.8,full_0930_1400,233,4.09,90,111,32,38.6,44.8,0.85,-4.96,8.29,87.9
LONG,delta_surge+vwap_lo_bounce,0.0,0.8,full_0930_1400,49,0.86,21,23,5,42.9,47.7,0.86,-1.07,2.1,78.3
LONG,delta_surge+cvd_up,0.0,0.8,full_0930_1400,210,3.68,83,97,30,39.5,46.1,0.9,-2.96,6.94,88.0
LONG,delta_surge+cvd_up_v,0.0,0.8,full_0930_1400,210,3.68,83,97,30,39.5,46.1,0.9,-2.96,6.94,88.0
LONG,delta_surge+mom_ignite_up,0.0,0.8,full_0930_1400,32,0.56,14,14,4,43.8,50.0,1.08,0.34,1.2,68.3
LONG,delta_surge+rsi_thrust_up,0.0,0.8,full_0930_1400,28,0.49,10,13,5,35.7,43.5,0.83,-0.7,1.6,86.8
LONG,s1_bounce+ylow_reclaim,0.0,0.8,full_0930_1400,3,0.05,1,2,0,33.3,33.3,0.5,-0.3,0.6,108.3
LONG,s1_bounce+macd_x_up,0.0,0.8,full_0930_1400,1,0.02,0,1,0,0.0,0.0,0.0,-0.3,0.0,35.0
LONG,s1_bounce+macd_x_up_neg,0.0,0.8,full_0930_1400,1,0.02,0,1,0,0.0,0.0,0.0,-0.3,0.0,35.0
LONG,s1_bounce+hist_turn_up,0.0,0.8,full_0930_1400,10,0.18,6,4,0,60.0,60.0,1.5,0.6,0.6,40.0
LONG,s1_bounce+strong_close,0.0,0.8,full_0930_1400,26,0.46,12,14,0,46.2,46.2,0.86,-0.6,2.4,47.3
LONG,s1_bounce+orb_break_up,0.0,0.8,full_0930_1400,2,0.04,1,1,0,50.0,50.0,1.0,0.0,0.0,25.0
LONG,s1_bounce+orb_break_up_v,0.0,0.8,full_0930_1400,2,0.04,1,1,0,50.0,50.0,1.0,0.0,0.0,25.0
LONG,s1_bounce+vwap_reclaim_v,0.0,0.8,full_0930_1400,2,0.04,1,1,0,50.0,50.0,1.0,0.0,0.0,102.5
LONG,s1_bounce+rvol_thrust_up,0.0,0.8,full_0930_1400,7,0.12,4,3,0,57.1,57.1,1.33,0.3,0.3,60.7
LONG,s1_bounce+above_vwap_v,0.0,0.8,full_0930_1400,7,0.12,4,3,0,57.1,57.1,1.33,0.3,0.3,60.7
LONG,s1_bounce+vwap_lo_bounce,0.0,0.8,full_0930_1400,9,0.16,6,3,0,66.7,66.7,2.0,0.9,0.9,67.8
LONG,s1_bounce+cvd_up,0.0,0.8,full_0930_1400,16,0.28,6,10,0,37.5,37.5,0.6,-1.2,2.1,41.2
LONG,s1_bounce+cvd_up_v,0.0,0.8,full_0930_1400,9,0.16,5,4,0,55.6,55.6,1.25,0.3,0.6,55.6
LONG,s1_bounce+rsi_thrust_up,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,5.0
LONG,ylow_reclaim+macd_x_up,0.0,0.8,full_0930_1400,1,0.02,0,1,0,0.0,0.0,0.0,-0.3,0.0,15.0
LONG,ylow_reclaim+macd_x_up_neg,0.0,0.8,full_0930_1400,1,0.02,0,1,0,0.0,0.0,0.0,-0.3,0.0,15.0
LONG,ylow_reclaim+hist_turn_up,0.0,0.8,full_0930_1400,3,0.05,0,1,2,0.0,0.0,1.48,0.14,0.0,175.0
LONG,ylow_reclaim+strong_close,0.0,0.8,full_0930_1400,29,0.51,11,14,4,37.9,44.0,0.89,-0.48,1.67,81.6
LONG,ylow_reclaim+orb_break_up,0.0,0.8,full_0930_1400,2,0.04,0,2,0,0.0,0.0,0.0,-0.6,0.3,67.5
LONG,ylow_reclaim+orb_break_up_v,0.0,0.8,full_0930_1400,2,0.04,0,2,0,0.0,0.0,0.0,-0.6,0.3,67.5
LONG,ylow_reclaim+vwap_reclaim_v,0.0,0.8,full_0930_1400,2,0.04,0,2,0,0.0,0.0,0.0,-0.6,0.3,115.0
LONG,ylow_reclaim+rvol_thrust_up,0.0,0.8,full_0930_1400,4,0.07,1,3,0,25.0,25.0,0.33,-0.6,0.3,83.8
LONG,ylow_reclaim+above_vwap_v,0.0,0.8,full_0930_1400,6,0.11,1,5,0,16.7,16.7,0.2,-1.2,0.9,61.7
LONG,ylow_reclaim+vwap_lo_bounce,0.0,0.8,full_0930_1400,13,0.23,6,4,3,46.2,60.0,2.05,1.26,0.3,115.8
LONG,ylow_reclaim+cvd_up,0.0,0.8,full_0930_1400,11,0.19,1,8,2,9.1,11.1,0.18,-2.12,1.97,80.9
LONG,ylow_reclaim+cvd_up_v,0.0,0.8,full_0930_1400,7,0.12,1,6,0,14.3,14.3,0.17,-1.5,1.2,60.0
LONG,ylow_reclaim+mom_ignite_up,0.0,0.8,full_0930_1400,1,0.02,0,1,0,0.0,0.0,0.0,-0.3,0.0,10.0
LONG,ylow_reclaim+rsi_thrust_up,0.0,0.8,full_0930_1400,2,0.04,1,1,0,50.0,50.0,1.0,0.0,0.3,15.0
LONG,yhigh_break+above_pivot,0.0,0.8,full_0930_1400,29,0.51,13,13,3,44.8,50.0,1.07,0.29,1.27,80.3
LONG,yhigh_break+macd_x_up,0.0,0.8,full_0930_1400,4,0.07,1,2,1,25.0,33.3,0.79,-0.12,0.3,80.0
LONG,yhigh_break+macd_x_up_neg,0.0,0.8,full_0930_1400,1,0.02,0,1,0,0.0,0.0,0.0,-0.3,0.0,60.0
LONG,yhigh_break+hist_turn_up,0.0,0.8,full_0930_1400,13,0.23,3,8,2,23.1,27.3,0.53,-1.14,1.2,72.3
LONG,yhigh_break+strong_close,0.0,0.8,full_0930_1400,29,0.51,13,13,3,44.8,50.0,1.07,0.29,1.27,80.3
LONG,yhigh_break+orb_break_up,0.0,0.8,full_0930_1400,4,0.07,2,2,0,50.0,50.0,1.0,0.0,0.3,57.5
LONG,yhigh_break+orb_break_up_v,0.0,0.8,full_0930_1400,4,0.07,2,2,0,50.0,50.0,1.0,0.0,0.3,57.5
LONG,yhigh_break+vwap_reclaim_v,0.0,0.8,full_0930_1400,4,0.07,2,2,0,50.0,50.0,1.0,0.0,0.3,56.2
LONG,yhigh_break+rvol_thrust_up,0.0,0.8,full_0930_1400,11,0.19,4,5,2,36.4,44.4,0.88,-0.19,0.97,85.9
LONG,yhigh_break+above_vwap_v,0.0,0.8,full_0930_1400,11,0.19,4,5,2,36.4,44.4,0.88,-0.19,0.97,85.9
LONG,yhigh_break+vwap_lo_bounce,0.0,0.8,full_0930_1400,4,0.07,2,2,0,50.0,50.0,1.0,0.0,0.3,46.2
LONG,yhigh_break+cvd_up,0.0,0.8,full_0930_1400,21,0.37,10,8,3,47.6,55.6,1.36,0.89,0.9,91.2
LONG,yhigh_break+cvd_up_v,0.0,0.8,full_0930_1400,15,0.26,6,7,2,40.0,46.2,0.91,-0.19,1.27,95.0
LONG,yhigh_break+mom_ignite_up,0.0,0.8,full_0930_1400,2,0.04,2,0,0,100.0,100.0,inf,0.6,0.0,137.5
LONG,yhigh_break+rsi_thrust_up,0.0,0.8,full_0930_1400,2,0.04,1,1,0,50.0,50.0,1.0,0.0,0.3,62.5
