direction,combo,noise_k,vol_mult,window,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG,vwap_reclaim+s1_bounce+hist_turn_up,0.0,0.8,full_0930_1400,5,0.09,3,2,0,60.0,60.0,1.5,0.3,0.3,77.0
LONG,vwap_reclaim+s1_bounce+strong_close,0.0,0.8,full_0930_1400,5,0.09,3,2,0,60.0,60.0,1.5,0.3,0.3,77.0
LONG,vwap_reclaim+s1_bounce+orb_break_up,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,15.0
LONG,vwap_reclaim+s1_bounce+orb_break_up_v,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,15.0
LONG,vwap_reclaim+s1_bounce+vwap_reclaim_v,0.0,0.8,full_0930_1400,3,0.05,1,2,0,33.3,33.3,0.5,-0.3,0.3,65.0
LONG,vwap_reclaim+s1_bounce+rvol_thrust_up,0.0,0.8,full_0930_1400,2,0.04,0,2,0,0.0,0.0,0.0,-0.6,0.3,90.0
LONG,vwap_reclaim+s1_bounce+above_vwap_v,0.0,0.8,full_0930_1400,2,0.04,0,2,0,0.0,0.0,0.0,-0.6,0.3,90.0
LONG,vwap_reclaim+s1_bounce+vwap_lo_bounce,0.0,0.8,full_0930_1400,2,0.04,0,2,0,0.0,0.0,0.0,-0.6,0.3,90.0
LONG,vwap_reclaim+s1_bounce+cvd_up,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,15.0
LONG,vwap_reclaim+s1_bounce+cvd_up_v,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,15.0
LONG,vwap_reclaim+ylow_reclaim+hist_turn_up,0.0,0.8,full_0930_1400,6,0.11,1,4,1,16.7,20.0,0.22,-1.04,1.04,102.5
LONG,vwap_reclaim+ylow_reclaim+strong_close,0.0,0.8,full_0930_1400,8,0.14,2,4,2,25.0,33.3,0.63,-0.49,0.9,109.4
LONG,vwap_reclaim+ylow_reclaim+vwap_reclaim_v,0.0,0.8,full_0930_1400,4,0.07,1,2,1,25.0,33.3,0.9,-0.06,0.3,110.0
LONG,vwap_reclaim+ylow_reclaim+rvol_thrust_up,0.0,0.8,full_0930_1400,4,0.07,1,2,1,25.0,33.3,0.9,-0.06,0.3,110.0
LONG,vwap_reclaim+ylow_reclaim+above_vwap_v,0.0,0.8,full_0930_1400,4,0.07,1,2,1,25.0,33.3,0.9,-0.06,0.3,110.0
LONG,vwap_reclaim+ylow_reclaim+vwap_lo_bounce,0.0,0.8,full_0930_1400,2,0.04,0,2,0,0.0,0.0,0.0,-0.6,0.3,90.0
